"Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM","COUNTY_PY","REGION_PY","GENDER_RECODE","RACE_RECODE","AGE_RECODE"
2,4,4,1,1,1,106,4,1,4,5
1,1,1,1,1,1,9,3,1,1,5
2,1,1,1,1,1,57,6,1,1,5
2,1,2,1,1,1,NA,7,1,1,1
2,2,2,1,3,2,108,1,1,1,1
2,1,1,1,1,1,70,1,1,1,1
2,3,2,1,1,1,133,1,1,1,1
2,1,1,1,4,4,116,1,1,1,1
2,2,2,2,2,1,124,1,1,1,1
2,2,2,1,1,1,79,2,1,1,1
2,1,1,1,1,1,59,3,1,1,1
1,1,2,2,2,1,21,4,1,1,1
1,2,1,1,1,1,102,5,1,1,1
1,1,1,3,3,3,42,5,1,1,1
2,1,1,1,1,1,42,5,1,1,1
2,1,1,1,1,1,87,6,1,1,1
1,1,2,1,3,1,NA,7,1,1,2
2,2,1,3,2,3,NA,7,1,1,2
1,1,1,1,1,1,108,1,1,1,2
2,1,3,3,3,3,31,1,1,1,2
2,2,2,2,3,3,104,1,1,1,2
2,3,1,1,1,3,83,1,1,1,2
2,3,1,1,1,1,70,1,1,1,2
2,2,1,1,3,1,112,1,1,1,2
2,3,1,3,2,1,90,1,1,1,2
2,2,2,2,3,3,49,1,1,1,2
1,2,2,2,3,2,124,1,1,1,2
2,2,2,2,3,1,117,2,1,1,2
2,2,1,2,2,1,34,2,1,1,2
1,2,3,3,3,3,47,3,1,1,2
1,2,2,2,3,3,6,3,1,1,2
2,1,3,3,2,3,21,4,1,1,2
2,2,2,3,3,3,76,4,1,1,2
2,2,2,1,1,1,2,4,1,1,2
2,2,2,2,1,3,5,4,1,1,2
2,3,3,3,3,1,58,4,1,1,2
1,2,3,1,1,1,130,4,1,1,2
2,3,1,2,2,2,106,4,1,1,2
2,2,1,1,1,1,95,4,1,1,2
1,3,2,3,2,2,27,4,1,1,2
1,3,3,3,2,2,72,5,1,1,2
2,2,2,2,2,3,72,5,1,1,2
2,3,2,2,2,1,40,5,1,1,2
2,3,2,2,2,2,119,5,1,1,2
2,2,2,2,2,1,51,6,1,1,2
2,2,1,2,2,3,87,6,1,1,2
2,1,1,2,3,1,57,6,1,1,2
2,1,1,1,2,1,NA,7,1,1,3
2,1,2,2,2,3,108,1,1,1,3
2,3,2,3,3,1,83,1,1,1,3
2,2,3,3,2,1,109,1,1,1,3
1,1,2,1,3,1,116,1,1,1,3
1,2,3,3,2,2,133,1,1,1,3
2,1,2,2,2,3,124,1,1,1,3
2,2,1,1,1,1,124,1,1,1,3
2,2,2,1,1,1,12,2,1,1,3
2,1,1,1,1,1,79,2,1,1,3
1,3,3,3,2,2,20,2,1,1,3
1,2,2,2,2,2,28,3,1,1,3
2,2,2,2,2,2,59,3,1,1,3
1,1,2,3,2,1,59,3,1,1,3
1,1,1,1,1,1,10,3,1,1,3
1,2,2,1,1,1,6,3,1,1,3
2,1,1,1,1,1,118,4,1,1,3
2,3,2,1,1,1,105,4,1,1,3
2,2,2,2,2,2,2,4,1,1,3
1,2,2,1,1,1,58,4,1,1,3
2,2,1,1,2,1,58,4,1,1,3
1,2,1,1,1,1,52,4,1,1,3
2,2,1,2,3,1,130,4,1,1,3
2,1,1,1,1,1,130,4,1,1,3
1,3,2,2,2,1,106,4,1,1,3
2,1,1,1,1,1,106,4,1,1,3
1,2,1,2,3,3,27,4,1,1,3
2,3,2,2,3,3,60,4,1,1,3
2,2,2,2,3,2,60,4,1,1,3
1,3,3,1,1,3,63,4,1,1,3
2,1,1,1,1,4,102,5,1,1,3
2,3,1,3,2,2,40,5,1,1,3
1,2,2,2,2,2,40,5,1,1,3
2,2,1,3,3,2,40,5,1,1,3
2,2,2,1,1,1,102,5,1,1,3
2,1,2,3,3,1,8,5,1,1,3
2,2,2,2,3,2,8,5,1,1,3
2,1,3,3,3,1,8,5,1,1,3
2,1,2,1,1,1,48,5,1,1,3
2,1,1,1,2,2,68,6,1,1,3
2,2,2,2,1,2,82,6,1,1,3
1,1,1,1,1,1,26,6,1,1,3
2,1,1,3,3,1,26,6,1,1,3
2,1,1,1,1,2,1,6,1,1,3
2,2,2,1,1,2,125,6,1,1,3
2,1,1,1,1,1,125,6,1,1,3
1,3,3,3,3,2,64,6,1,1,3
2,1,2,3,3,2,87,6,1,1,3
1,2,1,1,1,1,86,6,1,1,3
1,2,1,1,1,1,86,6,1,1,3
1,1,1,1,2,3,86,6,1,1,3
2,2,1,1,1,2,98,6,1,1,3
2,2,1,1,1,1,NA,7,1,1,4
1,2,2,3,1,1,NA,7,1,1,4
2,1,3,2,3,3,83,1,1,1,4
1,1,1,1,1,3,14,1,1,1,4
1,2,2,3,3,2,83,1,1,1,4
1,2,3,3,2,3,113,1,1,1,4
1,2,2,2,1,1,113,1,1,1,4
1,1,1,1,1,1,109,1,1,1,4
2,1,1,1,1,1,132,1,1,1,4
1,1,3,3,2,2,35,1,1,1,4
2,3,3,3,3,3,3,1,1,1,4
1,1,1,1,1,1,121,2,1,1,4
2,2,3,1,1,1,81,2,1,1,4
1,1,1,2,1,2,81,2,1,1,4
1,2,2,2,2,1,74,2,1,1,4
2,1,1,1,1,1,74,2,1,1,4
2,2,3,1,1,2,61,2,1,1,4
1,1,2,1,1,1,61,2,1,1,4
2,2,1,1,1,1,79,2,1,1,4
1,1,2,1,3,1,12,2,1,1,4
1,1,1,1,1,2,61,2,1,1,4
1,1,1,1,1,1,96,2,1,1,4
2,3,2,1,3,1,34,2,1,1,4
2,2,1,3,3,3,20,2,1,1,4
1,2,2,2,1,1,47,3,1,1,4
2,1,2,2,2,1,120,3,1,1,4
1,2,3,3,3,2,111,3,1,1,4
1,1,1,1,1,1,111,3,1,1,4
1,3,3,3,3,3,110,3,1,1,4
2,1,1,1,1,1,6,3,1,1,4
1,2,2,1,1,2,118,4,1,1,4
2,2,2,3,2,2,32,4,1,1,4
1,3,3,2,2,1,2,4,1,1,4
1,2,2,2,1,1,2,4,1,1,4
1,1,1,1,1,1,84,4,1,1,4
1,1,2,1,1,1,27,4,1,1,4
1,1,1,1,2,1,58,4,1,1,4
1,1,1,1,1,1,99,4,1,1,4
1,1,1,1,1,1,130,4,1,1,4
2,1,1,1,1,1,106,4,1,1,4
1,1,3,3,2,1,60,4,1,1,4
1,1,1,1,1,1,60,4,1,1,4
1,1,1,1,3,2,60,4,1,1,4
2,1,2,2,1,2,60,4,1,1,4
1,1,1,1,1,1,27,4,1,1,4
1,2,2,3,2,1,40,5,1,1,4
1,2,1,2,2,2,102,5,1,1,4
1,1,2,2,1,1,72,5,1,1,4
1,1,1,1,1,2,40,5,1,1,4
1,3,1,1,1,1,4,5,1,1,4
1,3,3,3,3,3,40,5,1,1,4
2,1,2,3,2,2,48,5,1,1,4
1,3,2,1,2,1,67,6,1,1,4
2,2,3,1,3,2,82,6,1,1,4
2,1,1,1,1,1,26,6,1,1,4
2,2,2,1,1,1,26,6,1,1,4
1,3,3,3,2,2,125,6,1,1,4
1,1,2,1,1,1,125,6,1,1,4
1,2,2,1,1,1,125,6,1,1,4
2,1,1,1,3,1,98,6,1,1,4
2,3,1,2,2,3,NA,7,1,2,1
2,1,1,3,2,3,112,1,1,2,1
2,1,1,1,2,1,121,2,1,2,1
2,2,1,2,3,3,34,2,1,2,1
2,1,1,2,3,1,58,4,1,2,1
2,2,2,1,1,1,95,4,1,2,1
2,2,1,2,2,2,78,5,1,2,1
2,1,2,3,2,1,40,5,1,2,1
2,1,1,1,1,1,119,5,1,2,1
2,2,1,2,2,1,26,6,1,2,1
2,4,2,4,4,4,87,6,1,2,1
2,3,1,3,2,2,108,1,1,2,2
2,1,1,1,1,1,16,2,1,2,2
2,1,1,2,2,2,34,2,1,2,2
2,1,1,3,2,1,20,2,1,2,2
2,2,2,1,2,1,56,2,1,2,2
2,2,2,2,3,1,131,3,1,2,2
2,4,4,4,4,4,27,4,1,2,2
2,2,1,3,3,1,27,4,1,2,2
2,2,1,3,2,1,60,4,1,2,2
2,2,1,1,3,3,8,5,1,2,2
2,1,1,3,3,1,67,6,1,2,2
2,4,1,3,2,2,26,6,1,2,2
2,3,2,2,3,1,87,6,1,2,2
2,1,1,1,1,1,87,6,1,2,2
2,2,1,3,2,2,86,6,1,2,2
1,2,2,1,2,1,117,2,1,2,3
1,2,1,2,2,1,81,2,1,2,3
2,1,1,3,3,3,59,3,1,2,3
2,3,2,2,2,3,32,4,1,2,3
1,1,2,3,3,2,32,4,1,2,3
1,2,2,1,1,2,2,4,1,2,3
2,2,2,1,3,2,106,4,1,2,3
2,1,3,2,2,3,106,4,1,2,3
1,2,2,1,2,2,106,4,1,2,3
1,1,1,1,1,1,60,4,1,2,3
2,2,2,2,3,3,27,4,1,2,3
2,1,2,1,1,1,27,4,1,2,3
2,2,2,2,3,3,119,5,1,2,3
2,1,1,3,3,2,26,6,1,2,3
2,3,3,3,2,2,1,6,1,2,3
2,1,2,2,3,3,125,6,1,2,3
2,2,2,3,2,2,87,6,1,2,3
2,3,2,2,3,3,87,6,1,2,3
1,2,1,3,3,2,86,6,1,2,3
2,3,2,3,2,2,57,6,1,2,3
2,3,1,1,2,2,134,6,1,2,3
1,1,1,2,2,1,98,6,1,2,3
1,1,1,2,2,1,101,6,1,2,3
1,2,2,3,2,2,20,2,1,2,4
2,1,1,1,1,1,56,2,1,2,4
2,3,3,3,2,3,120,3,1,2,4
1,2,2,2,1,2,6,3,1,2,4
2,1,2,1,3,1,27,4,1,2,4
1,1,1,1,1,1,106,4,1,2,4
2,1,2,3,2,1,106,4,1,2,4
1,2,1,2,3,1,106,4,1,2,4
2,1,1,3,2,2,26,6,1,2,4
1,3,2,2,3,2,87,6,1,2,4
2,1,2,1,3,2,87,6,1,2,4
2,1,1,2,3,1,87,6,1,2,4
2,2,2,2,3,2,57,6,1,2,4
1,2,1,1,3,2,101,6,1,2,4
2,1,1,1,1,1,115,3,1,3,1
2,1,1,1,2,2,106,4,1,3,1
1,1,3,3,3,1,106,4,1,3,1
2,1,1,3,2,3,40,5,1,3,1
2,3,1,3,3,2,8,5,1,3,1
2,1,2,1,1,1,27,4,1,3,2
1,2,1,3,1,1,40,5,1,3,2
2,2,3,2,3,3,40,5,1,3,2
2,1,1,2,2,2,40,5,1,3,2
2,3,2,2,2,3,67,6,1,3,2
2,1,1,1,1,1,125,6,1,3,2
2,1,1,1,1,2,106,4,1,3,3
1,1,1,1,2,3,60,4,1,3,3
2,1,2,3,2,2,102,5,1,3,3
2,1,2,3,1,2,78,5,1,3,3
2,1,2,2,1,1,102,5,1,3,3
2,2,3,3,3,2,40,5,1,3,3
2,2,2,1,1,2,40,5,1,3,3
1,2,2,1,1,2,40,5,1,3,3
2,2,1,1,1,1,82,6,1,3,3
2,3,1,2,2,2,66,6,1,3,3
2,2,1,2,3,1,85,6,1,3,3
1,3,3,2,2,2,108,1,1,3,4
2,1,1,1,1,3,109,1,1,3,4
1,2,2,3,2,2,16,2,1,3,4
1,1,2,2,2,1,12,2,1,3,4
1,3,3,3,3,1,118,4,1,3,4
2,1,1,1,1,1,40,5,1,3,4
1,3,2,3,2,2,86,6,1,3,4
1,4,4,3,3,3,4,5,2,4,5
2,4,1,3,4,1,27,4,2,4,1
2,4,4,3,2,3,86,6,2,4,1
1,2,1,3,3,2,119,5,2,4,4
2,1,1,1,1,1,NA,7,2,1,5
1,4,4,4,3,4,72,5,2,1,5
2,1,4,1,1,1,125,6,2,1,5
1,2,1,2,3,2,NA,7,2,1,1
2,2,2,1,3,2,108,1,2,1,1
2,1,1,2,1,1,94,1,2,1,1
2,2,2,1,2,2,43,1,2,1,1
2,2,2,3,2,3,83,1,2,1,1
2,2,2,2,2,2,127,1,2,1,1
2,1,1,3,1,1,114,1,2,1,1
2,2,2,3,2,1,22,1,2,1,1
2,2,2,1,2,1,16,2,2,1,1
2,1,1,3,3,2,61,2,2,1,1
1,1,1,3,2,2,12,2,2,1,1
2,1,1,2,2,1,58,4,2,1,1
2,2,2,3,3,3,106,4,2,1,1
1,2,1,1,1,1,41,5,2,1,1
2,2,2,2,2,2,119,5,2,1,1
2,1,1,1,1,1,67,6,2,1,1
2,1,1,3,3,1,87,6,2,1,1
2,2,2,2,1,1,87,6,2,1,1
2,2,1,2,3,1,87,6,2,1,1
2,1,1,1,3,1,NA,7,2,1,2
2,1,1,1,3,1,109,1,2,1,2
2,3,1,2,3,2,83,1,2,1,2
2,3,2,3,2,3,112,1,2,1,2
2,1,1,3,3,1,70,1,2,1,2
2,3,1,2,3,3,103,1,2,1,2
1,1,2,3,2,3,103,1,2,1,2
1,1,2,3,2,1,13,1,2,1,2
2,1,3,2,3,1,124,1,2,1,2
2,2,2,2,1,1,17,1,2,1,2
3,3,1,2,3,3,12,2,2,1,2
2,2,2,3,2,3,79,2,2,1,2
2,1,1,1,3,1,20,2,2,1,2
2,2,2,1,1,2,56,2,2,1,2
2,2,1,2,1,3,131,3,2,1,2
2,1,1,1,2,1,47,3,2,1,2
2,2,1,1,3,3,9,3,2,1,2
1,1,2,2,2,2,9,3,2,1,2
2,1,1,1,1,1,118,4,2,1,2
2,3,2,2,2,1,2,4,2,1,2
2,1,3,2,3,1,60,4,2,1,2
2,3,1,3,2,2,95,4,2,1,2
1,3,2,1,2,3,40,5,2,1,2
1,3,3,3,3,1,40,5,2,1,2
2,2,1,2,2,1,40,5,2,1,2
1,1,1,1,2,1,8,5,2,1,2
2,1,1,2,3,3,40,5,2,1,2
2,1,1,3,2,1,119,5,2,1,2
2,2,2,3,2,2,119,5,2,1,2
1,3,2,1,2,1,26,6,2,1,2
2,2,1,2,1,2,26,6,2,1,2
2,1,1,2,1,1,125,6,2,1,2
2,1,1,1,1,1,125,6,2,1,2
1,1,1,1,1,1,125,6,2,1,2
1,3,2,1,1,1,87,6,2,1,2
2,3,2,2,3,3,87,6,2,1,2
1,2,2,1,2,2,86,6,2,1,2
2,4,4,4,4,4,57,6,2,1,2
2,2,2,3,3,2,108,1,2,1,3
2,1,1,3,2,1,108,1,2,1,3
2,2,3,3,3,1,108,1,2,1,3
1,2,2,1,3,1,108,1,2,1,3
2,1,2,2,3,2,83,1,2,1,3
2,1,2,1,1,1,83,1,2,1,3
2,2,1,1,3,1,14,1,2,1,3
2,1,2,2,2,3,50,1,2,1,3
2,3,2,2,2,2,113,1,2,1,3
2,3,3,2,3,2,15,1,2,1,3
2,2,1,3,2,2,127,1,2,1,3
1,2,1,2,3,3,132,1,2,1,3
1,2,2,2,3,2,127,1,2,1,3
1,4,1,3,3,1,35,1,2,1,3
2,2,1,2,2,2,70,1,2,1,3
2,3,3,3,3,1,116,1,2,1,3
2,2,1,3,2,2,127,1,2,1,3
2,1,2,3,2,3,43,1,2,1,3
1,1,2,2,2,2,17,1,2,1,3
1,1,1,1,1,1,17,1,2,1,3
1,1,2,1,2,2,17,1,2,1,3
1,1,1,1,1,1,17,1,2,1,3
2,3,2,2,2,2,124,1,2,1,3
2,2,2,3,3,2,121,2,2,1,3
2,3,1,3,2,3,100,2,2,1,3
2,1,1,3,3,1,100,2,2,1,3
2,1,1,2,3,2,46,2,2,1,3
1,2,1,2,3,3,75,2,2,1,3
2,2,2,2,2,2,34,2,2,1,3
2,3,1,3,2,3,20,2,2,1,3
1,3,2,3,2,2,56,2,2,1,3
2,1,1,1,3,1,47,3,2,1,3
2,2,2,2,3,2,111,3,2,1,3
2,1,1,1,1,1,115,3,2,1,3
2,3,2,2,2,2,128,3,2,1,3
1,2,2,3,2,3,118,4,2,1,3
1,1,2,3,2,2,32,4,2,1,3
2,1,1,2,3,1,58,4,2,1,3
1,1,1,1,1,1,58,4,2,1,3
2,2,1,1,1,2,60,4,2,1,3
2,1,1,1,1,1,60,4,2,1,3
2,1,1,1,1,1,73,4,2,1,3
2,2,2,2,1,1,58,4,2,1,3
2,2,1,1,2,1,27,4,2,1,3
2,2,2,3,2,2,58,4,2,1,3
1,3,2,3,2,2,60,4,2,1,3
1,1,1,3,2,1,27,4,2,1,3
1,2,1,1,2,1,27,4,2,1,3
2,1,3,3,3,2,95,4,2,1,3
1,1,1,1,1,2,95,4,2,1,3
2,1,1,1,2,1,27,4,2,1,3
2,3,2,2,2,1,7,4,2,1,3
1,1,1,1,2,2,72,5,2,1,3
2,2,2,3,3,1,42,5,2,1,3
2,2,2,2,3,2,42,5,2,1,3
1,2,1,1,2,1,40,5,2,1,3
2,2,2,1,1,2,102,5,2,1,3
1,3,3,3,3,3,8,5,2,1,3
2,1,2,2,1,1,40,5,2,1,3
2,1,1,1,1,1,119,5,2,1,3
2,3,3,3,3,3,67,6,2,1,3
2,1,2,3,3,1,51,6,2,1,3
2,1,1,1,1,1,51,6,2,1,3
2,1,1,1,1,1,51,6,2,1,3
2,2,2,3,2,2,65,6,2,1,3
2,1,1,1,1,1,64,6,2,1,3
2,1,1,3,3,2,26,6,2,1,3
1,1,1,1,2,2,26,6,2,1,3
2,2,3,3,3,3,26,6,2,1,3
1,2,1,3,3,2,1,6,2,1,3
2,2,2,3,3,3,64,6,2,1,3
1,1,1,1,1,1,64,6,2,1,3
1,1,2,1,1,1,125,6,2,1,3
2,2,3,3,3,3,125,6,2,1,3
2,1,1,1,1,1,125,6,2,1,3
2,2,2,1,1,1,125,6,2,1,3
2,2,1,3,3,1,125,6,2,1,3
2,3,2,2,3,3,87,6,2,1,3
1,1,2,1,1,1,86,6,2,1,3
2,3,3,3,3,3,101,6,2,1,3
2,2,2,1,1,1,NA,7,2,1,4
1,2,3,3,3,1,NA,7,2,1,4
1,2,2,3,2,2,NA,7,2,1,4
2,2,2,3,3,2,108,1,2,1,4
2,3,1,3,3,2,109,1,2,1,4
1,2,2,2,1,2,109,1,2,1,4
1,2,2,2,3,3,15,1,2,1,4
1,2,2,3,2,2,132,1,2,1,4
1,2,3,2,3,3,35,1,2,1,4
1,3,2,3,2,2,132,1,2,1,4
1,3,3,3,3,1,132,1,2,1,4
1,2,1,1,1,1,132,1,2,1,4
1,3,3,3,2,2,22,1,2,1,4
1,2,2,3,3,1,116,1,2,1,4
1,3,3,2,3,2,116,1,2,1,4
2,2,2,2,3,2,133,1,2,1,4
2,1,2,2,2,2,61,2,2,1,4
1,2,2,2,3,3,79,2,2,1,4
2,2,2,2,2,2,61,2,2,1,4
1,2,2,1,3,1,75,2,2,1,4
1,2,1,3,2,2,75,2,2,1,4
2,3,2,3,1,1,11,2,2,1,4
1,2,1,3,3,2,34,2,2,1,4
2,1,2,3,1,2,131,3,2,1,4
2,2,2,2,2,1,131,3,2,1,4
1,2,2,1,1,1,47,3,2,1,4
2,1,1,1,3,1,111,3,2,1,4
2,2,2,3,2,2,115,3,2,1,4
1,1,1,2,3,1,115,3,2,1,4
1,3,3,3,2,3,128,3,2,1,4
1,1,2,1,2,2,120,3,2,1,4
1,1,2,1,1,1,19,3,2,1,4
1,3,1,1,2,1,110,3,2,1,4
1,3,1,2,3,3,118,4,2,1,4
1,2,2,3,3,3,76,4,2,1,4
2,1,2,3,2,3,2,4,2,1,4
1,1,3,3,1,1,2,4,2,1,4
1,3,3,1,1,2,2,4,2,1,4
1,3,2,3,3,3,2,4,2,1,4
1,2,2,2,2,3,84,4,2,1,4
1,1,2,1,1,1,58,4,2,1,4
2,2,1,1,1,1,60,4,2,1,4
1,2,2,1,1,2,27,4,2,1,4
1,2,3,2,3,1,27,4,2,1,4
1,2,1,1,1,3,58,4,2,1,4
1,3,2,1,1,3,106,4,2,1,4
1,2,1,2,3,2,60,4,2,1,4
1,2,3,3,3,1,27,4,2,1,4
1,2,2,3,1,2,27,4,2,1,4
1,1,1,2,3,1,27,4,2,1,4
2,3,2,2,2,2,95,4,2,1,4
1,2,2,1,1,1,27,4,2,1,4
1,3,3,2,3,2,27,4,2,1,4
2,2,3,3,1,3,29,4,2,1,4
1,3,2,3,3,2,63,4,2,1,4
1,2,2,1,3,2,63,4,2,1,4
1,1,2,2,3,3,78,5,2,1,4
1,1,1,1,1,1,40,5,2,1,4
1,2,1,1,2,1,102,5,2,1,4
2,3,2,1,2,1,40,5,2,1,4
1,1,3,2,2,2,40,5,2,1,4
2,2,1,2,1,2,102,5,2,1,4
1,3,2,1,1,1,8,5,2,1,4
2,4,1,1,1,1,4,5,2,1,4
1,3,1,1,2,1,40,5,2,1,4
1,1,1,1,1,1,119,5,2,1,4
1,2,1,4,4,1,42,5,2,1,4
1,2,1,1,1,1,66,6,2,1,4
1,1,2,2,1,3,26,6,2,1,4
1,1,2,1,1,1,26,6,2,1,4
1,1,1,2,2,1,26,6,2,1,4
1,1,2,3,3,2,125,6,2,1,4
1,1,2,3,2,2,125,6,2,1,4
2,1,2,1,1,1,87,6,2,1,4
1,1,1,2,1,1,86,6,2,1,4
2,3,1,3,2,1,86,6,2,1,4
1,1,1,1,1,1,57,6,2,1,4
1,2,1,1,1,1,134,6,2,1,4
1,2,2,3,2,1,98,6,2,1,4
1,1,2,2,3,3,98,6,2,1,4
1,3,3,2,3,3,101,6,2,1,4
2,4,2,2,3,2,108,1,2,2,1
2,1,1,1,1,1,106,4,2,2,1
2,1,2,3,2,2,95,4,2,2,1
2,1,1,2,3,2,4,5,2,2,1
2,2,2,3,2,4,89,6,2,2,1
2,1,1,1,1,1,125,6,2,2,1
1,1,1,1,1,1,125,6,2,2,1
2,2,2,2,3,3,86,6,2,2,1
2,1,1,1,2,1,NA,7,2,2,2
2,2,2,3,2,2,NA,7,2,2,2
2,3,1,3,2,2,116,1,2,2,2
1,2,1,3,3,1,81,2,2,2,2
2,1,1,1,1,1,79,2,2,2,2
2,1,1,1,1,1,96,2,2,2,2
1,2,2,3,3,2,47,3,2,2,2
2,2,1,3,3,2,59,3,2,2,2
2,1,1,1,2,1,2,4,2,2,2
2,3,3,3,2,2,106,4,2,2,2
3,2,1,2,1,1,27,4,2,2,2
2,1,1,1,1,1,72,5,2,2,2
2,3,1,2,2,3,69,6,2,2,2
2,2,2,2,3,2,26,6,2,2,2
2,2,1,2,2,1,87,6,2,2,2
1,4,2,2,2,3,87,6,2,2,2
2,1,1,2,1,3,57,6,2,2,2
2,2,2,3,2,1,NA,7,2,2,3
2,2,2,3,3,3,121,2,2,2,3
2,1,1,1,1,1,117,2,2,2,3
1,2,1,1,3,1,81,2,2,2,3
2,2,1,2,3,1,79,2,2,2,3
2,1,1,3,2,2,75,2,2,2,3
2,3,2,2,2,2,34,2,2,2,3
2,1,2,3,2,2,34,2,2,2,3
2,2,2,2,2,2,34,2,2,2,3
2,1,2,3,3,1,34,2,2,2,3
1,1,1,3,2,1,56,2,2,2,3
2,1,1,1,1,1,59,3,2,2,3
2,2,1,1,2,2,6,3,2,2,3
2,2,1,3,2,2,76,4,2,2,3
1,1,2,2,3,3,33,4,2,2,3
2,2,2,2,2,2,73,4,2,2,3
1,1,1,3,2,3,73,4,2,2,3
2,1,1,3,2,2,106,4,2,2,3
2,1,1,3,2,1,60,4,2,2,3
2,1,1,1,1,1,60,4,2,2,3
2,2,1,3,2,2,95,4,2,2,3
2,1,1,3,2,1,63,4,2,2,3
1,3,3,1,1,1,40,5,2,2,3
1,2,2,3,2,2,102,5,2,2,3
2,3,2,2,1,1,42,5,2,2,3
1,2,3,3,2,2,89,6,2,2,3
2,2,1,2,3,1,85,6,2,2,3
1,2,2,1,2,3,88,6,2,2,3
1,3,2,3,2,2,26,6,2,2,3
2,3,3,3,3,3,26,6,2,2,3
1,1,1,1,1,1,26,6,2,2,3
1,2,2,2,2,2,88,6,2,2,3
2,1,1,2,3,2,87,6,2,2,3
2,2,2,2,2,3,87,6,2,2,3
1,2,2,3,3,2,87,6,2,2,3
2,2,1,2,3,3,57,6,2,2,3
2,2,2,1,2,2,57,6,2,2,3
2,1,1,2,1,3,57,6,2,2,3
2,1,2,3,3,1,98,6,2,2,3
2,2,2,2,3,1,98,6,2,2,3
2,2,1,3,2,3,98,6,2,2,3
2,1,2,2,3,1,98,6,2,2,3
2,2,2,3,2,2,121,2,2,2,4
1,2,2,3,3,2,81,2,2,2,4
1,1,2,2,3,2,24,2,2,2,4
1,1,1,3,2,2,79,2,2,2,4
2,2,1,1,2,2,75,2,2,2,4
2,3,2,3,3,3,75,2,2,2,4
1,1,2,2,3,3,11,2,2,2,4
2,2,2,2,3,2,96,2,2,2,4
2,2,2,2,2,2,111,3,2,2,4
2,1,2,2,3,1,73,4,2,2,4
1,3,1,2,2,2,99,4,2,2,4
1,2,1,2,2,1,52,4,2,2,4
1,2,2,2,2,3,60,4,2,2,4
1,1,1,1,1,1,95,4,2,2,4
2,1,1,1,1,2,95,4,2,2,4
1,2,2,2,2,2,102,5,2,2,4
1,2,2,2,3,3,40,5,2,2,4
1,2,1,3,3,2,125,6,2,2,4
1,2,2,2,2,2,86,6,2,2,4
1,2,2,2,3,3,86,6,2,2,4
2,1,1,1,1,1,57,6,2,2,4
2,2,2,1,1,2,98,6,2,2,4
1,3,2,1,2,1,16,2,2,3,1
2,2,2,2,3,1,96,2,2,3,1
2,1,2,2,3,3,95,4,2,3,1
2,3,1,3,3,1,72,5,2,3,1
2,2,1,1,1,3,40,5,2,3,1
2,4,4,4,4,4,125,6,2,3,1
2,2,2,2,1,2,125,6,2,3,1
1,1,1,3,1,3,34,2,2,3,2
2,2,1,1,1,1,110,3,2,3,2
2,2,1,2,1,1,58,4,2,3,2
2,3,1,3,3,3,77,5,2,3,2
2,1,1,3,2,1,102,5,2,3,2
2,3,1,3,2,3,102,5,2,3,2
2,2,2,2,3,2,8,5,2,3,2
1,1,1,1,1,1,26,6,2,3,2
1,2,1,1,1,1,14,1,2,3,3
2,2,2,2,3,3,132,1,2,3,3
1,3,1,3,2,2,121,2,2,3,3
1,2,3,1,1,1,118,4,2,3,3
1,4,4,4,1,1,72,5,2,3,3
2,3,1,1,1,1,102,5,2,3,3
1,2,2,1,2,1,102,5,2,3,3
2,3,2,2,2,2,41,5,2,3,3
2,2,2,3,3,2,8,5,2,3,3
2,2,2,3,2,2,4,5,2,3,3
2,3,2,1,1,2,48,5,2,3,3
1,1,1,1,1,1,69,6,2,3,3
2,2,1,1,1,1,107,6,2,3,3
2,3,3,3,2,2,26,6,2,3,3
2,1,1,3,3,2,125,6,2,3,3
2,2,2,1,1,1,87,6,2,3,3
2,1,1,2,3,1,87,6,2,3,3
1,2,2,2,2,2,87,6,2,3,3
1,3,3,3,2,3,98,6,2,3,3
1,3,3,3,2,1,3,1,2,3,4
1,2,2,2,1,1,34,2,2,3,4
2,3,3,3,2,3,120,3,2,3,4
2,2,3,3,3,2,2,4,2,3,4
1,3,3,3,2,2,40,5,2,3,4
1,3,3,1,2,2,40,5,2,3,4
2,2,2,2,3,2,8,5,2,3,4
1,2,1,2,3,3,125,6,2,3,4
1,1,3,3,2,2,86,6,2,3,4
